Geo-ID	Place	% of Homes Built 2000 to 2009	% of Homes Built 1990 to 1999	% of Homes Built 1980 to 1989	% of Homes Built 1970 to 1979	% of Homes Built 1960 to 1969	% of Homes Built 1950 to 1959	% of Homes Built 1940 to 1949	% of Homes Built 1939 or earlier	% of Homes No bed rooms	% of Homes 1 bed rooms	% of Homes 2 bed rooms	% of Homes  3 bed rooms	% of Homes 4 bed rooms	% of Homes 5 or more bed rooms
06000us0609390290	Butte Valley	10	18	27	10	16	6	8	4	8	6	36	43	5	2
06000us0602990300	Buttonwillow	11	15	21	10	12	8	9	13	2	5	29	45	13	5
16000us0609353	Bystrom	13	10	23	10	25	17	2	0	6	16	29	38	11	0
16000us0609360	Cabazon	0	6	20	6	29	11	0	27	0	16	32	50	1	0
16000us0609598	Calabasas	19	35	20	14	2	0	1	8	0	6	19	23	32	19
05000us06009	Calaveras County	20	24	20	7	5	2	5	16	1	6	29	54	10	1
06000us0602590320	Calexico	21	16	12	6	6	2	3	34	4	11	15	39	24	6
16000us0609780	California City	16	20	14	10	4	0	0	36	0	2	21	58	17	2
16000us0609822	California Hot Springs	0	10	37	23	15	15	0	0	0	2	43	55	0	0
16000us0609834	California Pines	41	22	37	0	0	0	0	0	0	0	28	56	16	0
16000us0609864	Calimesa	9	22	18	24	10	4	4	10	0	6	46	29	15	4
16000us0609878	Calipatria	18	13	22	19	10	3	6	10	0	7	29	44	17	3
06000us0605590340	Calistoga	6	13	33	9	7	7	13	12	2	19	44	30	5	1
16000us0609948	Callender	9	15	25	15	3	7	0	27	5	18	6	41	24	6
16000us0609990	Calpella	5	25	0	5	13	34	11	6	6	3	37	35	19	0
16000us0610004	Calpine	16	0	41	0	12	8	18	5	0	20	45	30	5	0
16000us0610042	Camanche North Shore	12	28	26	7	0	0	0	27	7	0	25	53	14	0
16000us0610044	Camanche Village	20	13	17	0	0	0	0	50	0	0	8	80	10	3
06000us0611190350	Camarillo	14	15	26	22	5	1	1	15	1	9	21	32	30	7
16000us0610074	Cambria	19	31	21	8	5	2	3	10	0	7	37	48	6	1
16000us0610088	Cambrian Park	1	6	2	1	72	14	1	4	1	3	15	50	18	12
16000us0610256	Cameron Park	18	30	24	4	3	0	0	21	1	5	20	48	23	2
16000us0610270	Camino	13	16	17	20	14	8	5	7	3	10	19	58	8	2
16000us0610301	Camino Tassajara	0	0	0	0	0	0	0	100	0	0	10	2	31	56
16000us0610345	Campbell	6	14	26	19	20	7	3	5	2	18	33	31	14	3
16000us0610494	Camp Nelson	19	0	15	26	0	29	10	0	0	15	60	20	6	0
16000us0610508	Campo	16	7	20	14	6	8	5	24	0	13	39	34	11	2
16000us0610676	Camptonville	9	9	23	0	9	19	32	0	0	19	38	29	14	0
16000us0610816	Cantua Creek	9	27	21	25	18	0	0	0	0	0	25	75	0	0
16000us0610928	Canyon Lake	14	46	28	3	0	0	0	9	0	0	8	61	22	9
16000us0611040	Capitola	5	9	35	22	8	5	10	6	3	15	53	21	7	0
16000us0611194	Carlsbad	19	26	25	5	3	1	1	21	1	10	27	32	23	7
06000us0605390362	Carmel-by-the-Sea	7	11	18	15	17	12	14	6	2	10	36	34	13	4
06000us0605390370	Carmel Valley	9	18	19	11	19	12	7	6	1	10	33	39	14	3
16000us0611324	Carmel Valley Village	7	10	18	12	24	17	8	4	1	10	31	39	16	3
16000us0611390	Carmichael	5	13	27	24	21	3	2	4	1	14	26	38	17	4
16000us0611418	Carnelian Bay	7	16	37	25	5	3	6	2	2	7	12	44	25	9
06000us0608390378	Carpinteria	9	15	35	14	11	3	6	5	4	13	38	30	14	1
16000us0611481	Carrick	0	0	0	27	52	0	22	0	0	25	0	27	48	0
16000us0611530	Carson	5	6	16	36	21	9	2	5	1	6	20	42	27	4
16000us0611600	Cartago	0	46	7	0	0	0	46	0	0	37	56	7	0	0
16000us0611656	Casa Conejo	0	0	10	85	5	0	0	0	1	1	1	71	23	3
16000us0611691	Casa de Oro-Mount Helix	4	16	25	21	23	6	4	2	1	7	17	39	29	8
16000us0611754	Casmalia	0	0	66	19	0	16	0	0	17	0	16	48	19	0
16000us0611768	Caspar	23	16	24	6	4	0	15	11	0	12	58	31	0	0
16000us0611782	Cassel	12	18	4	42	8	0	0	17	0	0	47	32	21	0
16000us0611796	Castaic	22	32	5	4	1	0	0	34	1	3	13	42	32	10
16000us0611915	Castle Hill	2	26	13	16	24	9	6	4	0	4	0	56	36	4
16000us0611964	Castro Valley	15	10	13	16	26	14	3	3	1	8	26	39	22	4
06000us0605390400	Castroville	14	14	32	13	9	3	3	13	1	4	22	52	18	2
06000us0606590410	Cathedral City-Palm Desert	18	29	21	8	3	1	1	20	1	8	36	41	12	1
16000us0612062	Catheys Valley	5	30	9	5	3	19	13	15	0	19	35	35	11	0
16000us0612132	Cayucos	9	17	22	6	15	10	12	9	4	11	31	41	10	4
16000us0612146	Cazadero	4	13	7	12	18	13	29	4	10	25	44	19	2	0
16000us0612300	Cedar Ridge	21	23	21	13	8	2	0	12	0	3	41	46	9	2
16000us0612328	Cedarville	15	11	9	10	17	4	22	13	0	10	47	38	5	0
16000us0612412	Centerville	0	0	55	15	24	4	3	0	17	12	7	64	0	0
06000us0605990420	Central Coast	10	13	25	20	14	4	2	11	3	17	34	27	15	5
06000us0601190430	Central Colusa	19	12	12	10	9	5	10	23	1	8	25	47	16	2
06000us0601390440	Central Contra Costa	10	17	25	19	15	5	2	6	2	11	23	32	25	7
06000us0608990450	Central Shasta	15	20	25	10	5	3	5	17	2	7	35	43	12	2
16000us0612524	Ceres	15	24	18	7	8	3	2	23	0	5	21	45	23	5
16000us0612552	Cerritos	2	8	62	24	1	1	1	2	2	1	9	36	42	10
16000us0612594	Chalfant	18	18	10	0	6	0	0	47	2	0	9	89	0	0
16000us0612612	Challenge-Brownsville	14	15	26	17	4	4	2	18	2	22	36	33	6	2
16000us0612669	Channel Islands Beach	7	21	21	16	17	7	5	6	2	7	34	37	17	3
16000us0612734	Charter Oak	4	19	15	18	39	2	1	2	2	6	28	51	12	2
16000us0612818	Cherokee	32	18	35	0	15	0	0	0	0	18	15	68	0	0
16000us0612860	Cherokee Strip	22	0	10	5	24	17	7	14	0	0	12	88	0	0
16000us0612902	Cherryland	12	12	10	12	20	15	12	6	1	21	53	19	4	2
16000us0612916	Cherry Valley	13	22	25	21	10	3	2	5	0	9	40	36	14	0
06000us0606390460	Chester	16	25	23	6	8	4	7	11	1	5	25	54	14	1
06000us0600790470	Chico	15	19	19	11	11	5	8	13	3	13	30	40	13	1
16000us0613077	Chilcoot-Vinton	21	28	17	0	7	0	7	19	0	13	32	40	0	14
16000us0613157	China Lake Acres	8	36	32	0	2	0	5	16	0	11	40	46	4	0
